source: https://buecker.baseball.cbssports.com/standings/overall
captured: 2026-08-02T18:59:57
---
League
My Team
Players
Scores
Standings
Advice
Bob Uecker Imaginary Baseball League
Runtime Terror
Runtime Terror
(9th)
Standings
 
ADD/DROP
 
TRADES
4 / 13
WAIVER #
OVERALL
BY PERIOD
YEAR
2026
PERIOD
PERIOD 19 (MON, JULY 27 - SUN, AUG 02)
RANK
	
TEAM
	
BATTING
	
PITCHING
	
TOTAL
	
DIF
	
BEHIND

1	Rieken Havoc	35.0	50.5	85.5	-3.5	0.0
1	Young Guns	47.5	38.0	85.5	1.0	0.0
3	Big Sticks	45.5	39.5	85.0	-3.5	0.5
4	Maga Doge	56.5	25.5	82.0	4.0	3.5
5	Like a Nightmare	36.5	44.0	80.5	3.5	5.0
5	Dawg	52.5	28.0	80.5	-3.5	5.0
7	Guillotine	25.5	46.0	71.5	-0.5	14.0
8	Long Balls	25.0	46.0	71.0	3.0	14.5
9	Runtime Terror	39.0	25.0	64.0	1.0	21.5
10	Gashouse Gang	19.5	40.0	59.5	1.0	26.0
11	Magnum GI	17.5	32.0	49.5	4.5	36.0
12	Simba's Dublin Green Sox	26.5	21.5	48.0	-1.5	37.5
13	Trex	28.5	19.0	47.5	-5.5	38.0
Batting Breakdown
TEAM	HR	PTS	DIF
Maga Doge	235	13.0	0.0
Young Guns	208	12.0	0.0
Dawg	206	11.0	0.0
Big Sticks	199	10.0	0.0
Like a Nightmare	196	9.0	0.0
Runtime Terror	174	8.0	0.0
Long Balls	173	7.0	0.0
Simba's Dublin Green Sox	170	6.0	0.0
Guillotine	165	5.0	0.0
Rieken Havoc	151	4.0	0.0
Gashouse Gang	150	3.0	0.0
Magnum GI	143	1.5	0.5
Trex	143	1.5	-0.5
TEAM	OBP	PTS	DIF
Dawg	.3517	13.0	0.0
Runtime Terror	.3379	12.0	0.0
Trex	.3375	11.0	0.0
Maga Doge	.3370	10.0	0.0
Young Guns	.3363	9.0	0.0
Gashouse Gang	.3332	8.0	1.0
Rieken Havoc	.3304	7.0	-1.0
Big Sticks	.3292	6.0	0.0
Long Balls	.3280	5.0	0.0
Magnum GI	.3205	4.0	0.0
Like a Nightmare	.3139	3.0	2.0
Simba's Dublin Green Sox	.3128	2.0	0.0
Guillotine	.3124	1.0	-2.0
TEAM	R	PTS	DIF
Maga Doge	732	13.0	0.0
Dawg	726	12.0	0.0
Young Guns	682	11.0	0.0
Big Sticks	664	10.0	0.0
Runtime Terror	654	9.0	0.0
Like a Nightmare	635	8.0	0.0
Guillotine	625	7.0	0.0
Rieken Havoc	623	5.5	-0.5
Gashouse Gang	623	5.5	0.5
Trex	606	4.0	0.0
Magnum GI	605	3.0	0.0
Long Balls	569	2.0	0.0
Simba's Dublin Green Sox	565	1.0	0.0
TEAM	RBI	PTS	DIF
Maga Doge	697	13.0	0.0
Big Sticks	680	12.0	0.0
Dawg	641	11.0	0.5
Young Guns	630	10.0	-0.5
Long Balls	616	9.0	2.0
Simba's Dublin Green Sox	614	8.0	-1.0
Runtime Terror	609	7.0	-1.0
Rieken Havoc	595	6.0	0.0
Magnum GI	590	5.0	0.0
Like a Nightmare	581	4.0	0.0
Guillotine	546	3.0	0.0
Gashouse Gang	545	2.0	0.0
Trex	487	1.0	0.0
TEAM	SB	PTS	DIF
Rieken Havoc	127	12.5	0.5
Like a Nightmare	127	12.5	-0.5
Trex	108	11.0	0.0
Guillotine	107	9.5	0.5
Simba's Dublin Green Sox	107	9.5	-0.5
Big Sticks	98	7.5	0.5
Maga Doge	98	7.5	1.5
Young Guns	95	5.5	1.5
Dawg	95	5.5	-2.5
Magnum GI	93	4.0	-1.0
Runtime Terror	86	3.0	0.0
Long Balls	75	2.0	0.0
Gashouse Gang	63	1.0	0.0
	 	
Pitching Breakdown
TEAM	ERA	PTS	DIF
Rieken Havoc	3.347	13.0	0.0
Gashouse Gang	3.384	12.0	0.0
Guillotine	3.529	11.0	0.0
Long Balls	3.575	10.0	1.0
Runtime Terror	3.580	9.0	-1.0
Dawg	3.805	8.0	0.0
Like a Nightmare	3.892	7.0	1.0
Big Sticks	3.910	6.0	-1.0
Young Guns	3.957	5.0	0.0
Magnum GI	3.958	4.0	0.0
Trex	4.196	3.0	0.0
Simba's Dublin Green Sox	4.265	2.0	0.0
Maga Doge	4.389	1.0	0.0
TEAM	K	PTS	DIF
Long Balls	1044	13.0	0.0
Guillotine	969	12.0	0.0
Like a Nightmare	939	11.0	1.0
Big Sticks	938	10.0	-1.0
Young Guns	933	9.0	0.0
Rieken Havoc	899	8.0	0.0
Maga Doge	890	7.0	0.0
Gashouse Gang	836	6.0	0.0
Magnum GI	828	5.0	1.0
Simba's Dublin Green Sox	819	4.0	1.0
Runtime Terror	816	3.0	1.0
Trex	813	2.0	-3.0
Dawg	775	1.0	0.0
TEAM	S	PTS	DIF
Rieken Havoc	66	13.0	0.0
Magnum GI	62	12.0	0.0
Like a Nightmare	61	11.0	0.0
Trex	45	10.0	0.0
Big Sticks	44	9.0	0.0
Long Balls	40	8.0	0.5
Gashouse Gang	39	7.0	-0.5
Maga Doge	38	6.0	0.0
Runtime Terror	35	5.0	0.0
Dawg	22	3.5	0.0
Simba's Dublin Green Sox	22	3.5	0.0
Guillotine	20	2.0	0.0
Young Guns	17	1.0	0.0
TEAM	WHIP	PTS	DIF
Gashouse Gang	1.1202	13.0	0.0
Like a Nightmare	1.1555	12.0	1.0
Rieken Havoc	1.1659	11.0	-1.0
Young Guns	1.1916	10.0	0.0
Guillotine	1.2032	9.0	1.0
Dawg	1.2067	8.0	-1.0
Big Sticks	1.2359	7.0	0.0
Maga Doge	1.2362	6.0	2.0
Long Balls	1.2366	5.0	-1.0
Runtime Terror	1.2460	4.0	1.0
Trex	1.2550	3.0	-2.0
Magnum GI	1.2716	2.0	1.0
Simba's Dublin Green Sox	1.2786	1.0	-1.0
TEAM	WQS	PTS	DIF
Young Guns	137	13.0	0.0
Guillotine	133	12.0	0.0
Simba's Dublin Green Sox	132	11.0	0.0
Long Balls	123	10.0	0.5
Magnum GI	118	9.0	3.0
Big Sticks	116	7.5	-2.0
Dawg	116	7.5	-0.5
Rieken Havoc	114	5.5	-1.5
Maga Doge	114	5.5	0.5
Runtime Terror	108	4.0	1.0
Like a Nightmare	107	3.0	-1.0
Gashouse Gang	100	2.0	0.0
Trex	99	1.0	0.0
STANDINGS UPDATED AS OF 08/02/26 07:59 PM ET
More
Pick'em Games
Fantasy Sports
Free Sports TV
Betting Analysis
March Madness
Mobile Apps
Company
About Us
Careers
About Paramount
Paramount+
CBS TV
Regulation
Terms Of Use
Privacy Policy
Minors' Privacy Policy
Your Privacy Choices
Closed Captioning
California Notice
Contact Us
Help
Customer Care
Social Media
YouTube
TikTok
Instagram
Facebook
X
Threads
Flipboard
Account
Manage My Account
Newsletters
My Teams
Forgot Password

© 2004-2025 CBS Interactive. ALL RIGHTS RESERVED.

CBS Sports is a registered trademark of CBS Broadcasting Inc. Commissioner is a registered service mark of CBS Interactive Inc. Scout Fantasy is a registered service mark of CBS 247 Inc.

The content on this site is for entertainment purposes only and CBS Sports makes no representation or warranty as to the accuracy of the information given or the outcome of any game or event. There is no gambling offered on this site. This site contains commercial content and CBS Sports may be compensated for the links provided on this site.

Images by Getty Images and Imagn
