source: https://buecker.baseball.cbssports.com/transactions?print_rows=9999
captured: 2026-08-03T10:29:28
---
DATE|TEAM|PLAYERS|EFFECTIVE|COST
8/3/26 10:35 AM ET|Trex|Noah Cameron P • KC - Added|8/3/26|$2.50
8/3/26 10:34 AM ET|Trex|Connor Prielipp P • MIN - Added; Seranthony Dominguez P • SEA - Dropped|8/3/26|$2.50
8/3/26 9:28 AM ET|Maga Doge|Jung Hoo Lee OF • SF - Dropped|8/3/26|$0.00
8/2/26 7:49 PM ET|Runtime Terror|Erik Miller P • SF - Added; Garrett Mitchell OF • MIL - Dropped|8/3/26|$2.50
8/2/26 4:08 PM ET|Runtime Terror|Slade Cecconi P • CLE - Added; Abner Uribe P • MIL - Dropped|8/3/26|$2.50
8/2/26 11:38 AM ET|Dawg|Jeremiah Estrada P • SD - Dropped|8/3/26|$0.00
8/2/26 11:37 AM ET|Dawg|Esteury Ruiz OF • MIA - Added|8/3/26|$2.50
8/2/26 11:33 AM ET|Dawg|Sean Manaea P • NYM - Added|8/3/26|$2.50
8/2/26 11:16 AM ET|Dawg|Zebby Matthews P • MIN - Dropped|8/3/26|$0.00
8/2/26 11:13 AM ET|Dawg|Luis Arraez 1B,2B • SF - Dropped|8/3/26|$0.00
8/2/26 11:12 AM ET|Dawg|Luke Weaver P • NYM - Dropped|8/3/26|$0.00
8/2/26 11:07 AM ET|Dawg|Andrew Abbott P • CIN - Dropped|8/3/26|$0.00
8/1/26 11:51 PM ET|Like a Nightmare|Aaron Nola P • PHI - Added; Shane Bieber P • TOR - Dropped|8/3/26|$2.50
8/1/26 11:17 PM ET|Like a Nightmare|Lawrence Butler OF • ATH - Added|8/3/26|$2.50
8/1/26 7:49 PM ET|Guillotine|Brandyn Garcia P • ARI - Added; Bubba Chandler P • PIT - Dropped|8/3/26|$2.50
8/1/26 7:30 AM ET|Maga Doge|Michael McGreevy P • STL - Added off Waivers; Alex Lange P • KC - Dropped|8/3/26|$2.50
7/31/26 3:52 AM ET|Maga Doge|Spencer Torkelson 1B • DET - Added off Waivers; Kyle Leahy P • STL - Dropped|8/3/26|$2.50
7/31/26 2:58 AM ET|Simba's Dublin Green Sox|Steven Cruz P • KC - Added; Chad Patrick P • MIL - Dropped|8/3/26|$2.50
7/30/26 9:47 AM ET|Long Balls|Max Clark OF • DET - Added; Joseph Ortiz 3B,SS • MIL - Dropped|8/3/26|$2.50
7/30/26 8:14 AM ET|Young Guns|Colt Emerson SS • SEA - Added|8/3/26|$2.50
7/30/26 3:11 AM ET|Simba's Dublin Green Sox|Michael McGreevy P • STL - Dropped|8/3/26|$0.00
7/30/26 3:07 AM ET|Simba's Dublin Green Sox|George Soriano P • STL - Added|8/3/26|$2.50
7/29/26 9:55 PM ET|Trex|Victor Mesa Jr. OF • TB - Added; Henry Bolte OF • ATH - Dropped|8/3/26|$2.50
7/29/26 8:24 AM ET|Young Guns|Bailey Ober P • MIN - Dropped|8/3/26|$0.00
7/29/26 8:14 AM ET|Big Sticks|Clayton Beeter P • WAS - Added; Spencer Torkelson 1B • DET - Dropped|8/3/26|$2.50
7/27/26 7:36 PM ET|Long Balls|Joseph Ortiz 3B,SS | MIL Added|7/27/26|$2.50
7/27/26 2:17 PM ET|Guillotine|Bubba Chandler P • PIT - Added; Max Meyer P • MIA - Moved to IR|7/27/26|$2.50
7/27/26 1:40 PM ET|Long Balls|Colt Emerson SS • SEA - Dropped|7/27/26|$0.00
