source: https://buecker.baseball.cbssports.com/standings/overall
captured: 2026-08-08T11:20:38
---
League
My Team
Players
Scores
Standings
Advice
1
Bob Uecker Imaginary Baseball League
Runtime Terror
Runtime Terror
(9th)
Standings
 
ADD/DROP
 
TRADES
1
3 / 13
WAIVER #
OVERALL
BY PERIOD
YEAR
2026
PERIOD
PERIOD 20 (MON, AUG 03 - SUN, AUG 09)
RANK
	
TEAM
	
BATTING
	
PITCHING
	
TOTAL
	
DIF
	
BEHIND

1	Young Guns	48.0	39.0	87.0	0.0	0.0
2	Maga Doge	57.5	28.0	85.5	-2.0	1.5
3	Big Sticks	46.0	38.0	84.0	4.5	3.0
4	Dawg	54.0	29.5	83.5	4.5	3.5
5	Rieken Havoc	34.0	49.0	83.0	-0.5	4.0
6	Like a Nightmare	36.0	43.5	79.5	-1.0	7.5
7	Long Balls	24.5	47.0	71.5	1.0	15.5
8	Guillotine	26.5	43.0	69.5	-3.0	17.5
9	Runtime Terror	38.0	26.0	64.0	-1.0	23.0
10	Gashouse Gang	22.0	39.0	61.0	0.0	26.0
11	Trex	26.5	25.0	51.5	6.0	35.5
12	Simba's Dublin Green Sox	26.0	21.0	47.0	0.0	40.0
13	Magnum GI	16.0	27.0	43.0	-8.5	44.0
Batting Breakdown
TEAM	HR	PTS	DIF
Maga Doge	242	13.0	0.0
Dawg	218	12.0	1.0
Young Guns	217	11.0	-1.0
Big Sticks	213	10.0	0.5
Like a Nightmare	204	9.0	-0.5
Long Balls	178	7.5	-0.5
Runtime Terror	178	7.5	0.5
Guillotine	177	5.5	0.5
Simba's Dublin Green Sox	177	5.5	-0.5
Gashouse Gang	159	4.0	0.5
Rieken Havoc	157	3.0	-0.5
Trex	151	2.0	0.5
Magnum GI	145	1.0	-0.5
TEAM	OBP	PTS	DIF
Dawg	.3530	13.0	0.0
Maga Doge	.3363	12.0	1.0
Runtime Terror	.3362	11.0	-1.0
Young Guns	.3353	10.0	1.0
Trex	.3347	9.0	-1.0
Gashouse Gang	.3343	8.0	0.0
Big Sticks	.3317	7.0	1.0
Rieken Havoc	.3291	6.0	-1.0
Long Balls	.3269	5.0	0.0
Magnum GI	.3205	4.0	0.0
Guillotine	.3144	3.0	1.0
Like a Nightmare	.3141	2.0	-1.0
Simba's Dublin Green Sox	.3124	1.0	0.0
TEAM	R	PTS	DIF
Dawg	763	13.0	1.0
Maga Doge	762	12.0	-1.0
Young Guns	709	11.0	0.0
Big Sticks	691	10.0	0.0
Runtime Terror	681	9.0	0.0
Like a Nightmare	670	8.0	0.0
Gashouse Gang	658	7.0	1.0
Rieken Havoc	657	6.0	1.0
Guillotine	652	5.0	-2.0
Trex	628	3.5	0.5
Magnum GI	628	3.5	-0.5
Long Balls	592	2.0	0.0
Simba's Dublin Green Sox	580	1.0	0.0
TEAM	RBI	PTS	DIF
Maga Doge	717	12.5	-0.5
Big Sticks	717	12.5	0.5
Dawg	672	11.0	0.0
Young Guns	649	9.5	-0.5
Simba's Dublin Green Sox	649	9.5	0.5
Long Balls	635	8.0	0.0
Runtime Terror	633	7.0	0.0
Rieken Havoc	617	6.0	0.0
Like a Nightmare	614	5.0	1.0
Magnum GI	605	4.0	-1.0
Guillotine	578	3.0	0.0
Gashouse Gang	577	2.0	0.0
Trex	515	1.0	0.0
TEAM	SB	PTS	DIF
Rieken Havoc	135	13.0	0.0
Like a Nightmare	134	12.0	0.0
Trex	115	11.0	0.0
Guillotine	110	10.0	0.5
Simba's Dublin Green Sox	109	9.0	-0.5
Maga Doge	102	8.0	0.5
Young Guns	101	6.5	0.5
Big Sticks	101	6.5	-1.0
Dawg	96	5.0	0.0
Runtime Terror	93	3.5	0.5
Magnum GI	93	3.5	-0.5
Long Balls	75	2.0	0.0
Gashouse Gang	68	1.0	0.0
	 	
Pitching Breakdown
TEAM	ERA	PTS	DIF
Rieken Havoc	3.375	13.0	0.0
Gashouse Gang	3.507	12.0	0.0
Long Balls	3.553	11.0	2.0
Runtime Terror	3.556	10.0	0.0
Guillotine	3.565	9.0	-2.0
Dawg	3.757	8.0	0.0
Big Sticks	3.901	7.0	3.0
Like a Nightmare	3.963	6.0	-1.0
Young Guns	4.000	5.0	-1.0
Trex	4.016	4.0	1.0
Magnum GI	4.117	3.0	-2.0
Simba's Dublin Green Sox	4.212	2.0	0.0
Maga Doge	4.302	1.0	0.0
TEAM	K	PTS	DIF
Long Balls	1092	13.0	0.0
Guillotine	1016	12.0	0.0
Like a Nightmare	989	11.0	0.0
Young Guns	983	10.0	1.0
Big Sticks	978	9.0	-1.0
Maga Doge	935	8.0	0.0
Rieken Havoc	934	7.0	0.0
Gashouse Gang	878	6.0	0.0
Magnum GI	862	5.0	0.0
Runtime Terror	860	4.0	0.0
Trex	854	3.0	1.0
Simba's Dublin Green Sox	847	2.0	-1.0
Dawg	815	1.0	0.0
TEAM	S	PTS	DIF
Rieken Havoc	67	13.0	0.0
Like a Nightmare	65	12.0	1.0
Magnum GI	64	11.0	-1.0
Big Sticks	47	9.5	0.5
Trex	47	9.5	-0.5
Long Balls	42	8.0	0.5
Gashouse Gang	40	7.0	-0.5
Maga Doge	38	6.0	0.0
Runtime Terror	35	5.0	0.0
Simba's Dublin Green Sox	25	4.0	0.5
Dawg	22	3.0	-0.5
Young Guns	20	1.5	0.5
Guillotine	20	1.5	-0.5
TEAM	WHIP	PTS	DIF
Gashouse Gang	1.1324	13.0	0.0
Like a Nightmare	1.1587	12.0	0.0
Rieken Havoc	1.1771	11.0	0.0
Young Guns	1.1975	10.0	0.0
Dawg	1.2046	9.0	1.0
Guillotine	1.2136	8.0	-1.0
Maga Doge	1.2283	7.0	0.0
Trex	1.2295	6.0	3.0
Long Balls	1.2338	5.0	-1.0
Big Sticks	1.2358	4.0	-1.0
Runtime Terror	1.2403	3.0	-1.0
Simba's Dublin Green Sox	1.2703	2.0	1.0
Magnum GI	1.3028	1.0	-1.0
TEAM	WQS	PTS	DIF
Young Guns	141	12.5	-0.5
Guillotine	141	12.5	0.5
Simba's Dublin Green Sox	137	11.0	0.0
Long Balls	129	10.0	0.0
Big Sticks	122	8.5	2.0
Dawg	122	8.5	2.0
Magnum GI	121	7.0	-2.0
Maga Doge	120	6.0	-2.0
Rieken Havoc	119	5.0	0.0
Runtime Terror	116	4.0	0.0
Like a Nightmare	110	2.5	-0.5
Trex	110	2.5	1.5
Gashouse Gang	104	1.0	-1.0
STANDINGS UPDATED AS OF 08/08/26 12:20 PM ET
More
Pick'em Games
Fantasy Sports
Free Sports TV
Betting Analysis
March Madness
Mobile Apps
Company
About Us
Careers
About Paramount
Paramount+
CBS TV
Regulation
Terms Of Use
Privacy Policy
Minors' Privacy Policy
Your Privacy Choices
Closed Captioning
California Notice
Contact Us
Help
Customer Care
Social Media
YouTube
TikTok
Instagram
Facebook
X
Threads
Flipboard
Account
Manage My Account
Newsletters
My Teams
Forgot Password

© 2004-2025 CBS Interactive. ALL RIGHTS RESERVED.

CBS Sports is a registered trademark of CBS Broadcasting Inc. Commissioner is a registered service mark of CBS Interactive Inc. Scout Fantasy is a registered service mark of CBS 247 Inc.

The content on this site is for entertainment purposes only and CBS Sports makes no representation or warranty as to the accuracy of the information given or the outcome of any game or event. There is no gambling offered on this site. This site contains commercial content and CBS Sports may be compensated for the links provided on this site.

Images by Getty Images and Imagn
