=== Period 1 (Wed, Mar 25 - Sun, Mar 29) ===
Rank|Team|Batting|Pitching|Total|Dif|Behind
1|Dawg|51.5|46.5|98.0|98.0|0.0
2|Rieken Havoc|49.0|39.5|88.5|88.5|9.5
3|Big Sticks|52.0|35.0|87.0|87.0|11.0
4|Magnum GI|41.5|40.5|82.0|82.0|16.0
5|Maga Doge|25.5|53.5|79.0|79.0|19.0
6|Runtime Terror|39.0|39.0|78.0|78.0|20.0
7|Long Balls|27.5|45.5|73.0|73.0|25.0
8|Trex|46.0|24.0|70.0|70.0|28.0
9|Guillotine|32.0|35.0|67.0|67.0|31.0
10|Gashouse Gang|38.5|24.5|63.0|63.0|35.0
11|Simba's Dublin Green Sox|14.5|35.5|50.0|50.0|48.0
12|Like a Nightmare|9.0|29.5|38.5|38.5|59.5
13|Young Guns|29.0|7.0|36.0|36.0|62.0
Batting Breakdown TeamHRPtsDif Dawg812.512.5 Big Sticks812.512.5 Trex711.011.0 Magnum GI69.59.5 Gashouse Gang69.59.5 Rieken Havoc57.57.5 Maga Doge57.57.5 Runtime Terror45.55.5 Young Guns45.55.5 Long Balls33.53.5 Guillotine33.53.5 Simba's Dublin Green Sox21.51.5 Like a Nightmare21.51.5 TeamOBPPtsDif Rieken Havoc.379513.013.0 Dawg.374112.012.0 Guillotine.359411.011.0 Big Sticks.351710.010.0 Runtime Terror.34599.09.0 Trex.34538.08.0 Long Balls.32897.07.0 Magnum GI.32146.06.0 Young Guns.32085.05.0 Maga Doge.31214.04.0 Like a Nightmare.30223.03.0 Gashouse Gang.29032.02.0 Simba's Dublin Green Sox.26901.01.0 TeamRPtsDif Rieken Havoc2713.013.0 Dawg2512.012.0 Runtime Terror2211.011.0 Big Sticks219.59.5 Gashouse Gang219.59.5 Magnum GI208.08.0 Young Guns187.07.0 Trex166.06.0 Maga Doge154.54.5 Guillotine154.54.5 Long Balls143.03.0 Like a Nightmare112.02.0 Simba's Dublin Green Sox101.01.0 TeamRBIPtsDif Trex2613.013.0 Runtime Terror2412.012.0 Rieken Havoc2311.011.0 Long Balls209.59.5 Gashouse Gang209.59.5 Big Sticks187.07.0 Magnum GI187.07.0 Young Guns187.07.0 Maga Doge155.05.0 Dawg144.04.0 Simba's Dublin Green Sox133.03.0 Guillotine82.02.0 Like a Nightmare71.01.0 TeamSBPtsDif Big Sticks613.013.0 Dawg511.011.0 Magnum GI511.011.0 Guillotine511.011.0 Trex38.08.0 Gashouse Gang38.08.0 Simba's Dublin Green Sox38.08.0 Rieken Havoc24.54.5 Maga Doge24.54.5 Long Balls24.54.5 Young Guns24.54.5 Runtime Terror11.51.5 Like a Nightmare11.51.5||Pitching Breakdown TeamERAPtsDif Runtime Terror2.79313.013.0 Guillotine3.10312.012.0 Big Sticks3.14611.011.0 Magnum GI3.89710.010.0 Long Balls4.0309.09.0 Maga Doge4.1548.08.0 Rieken Havoc4.2297.07.0 Simba's Dublin Green Sox4.3956.06.0 Dawg4.6965.05.0 Gashouse Gang4.9094.04.0 Trex5.0403.03.0 Like a Nightmare5.3242.02.0 Young Guns11.2501.01.0 TeamKPtsDif Maga Doge4413.013.0 Big Sticks3511.511.5 Simba's Dublin Green Sox3511.511.5 Dawg3410.010.0 Long Balls339.09.0 Guillotine328.08.0 Magnum GI317.07.0 Rieken Havoc306.06.0 Like a Nightmare295.05.0 Gashouse Gang284.04.0 Runtime Terror242.52.5 Trex242.52.5 Young Guns111.01.0 TeamSPtsDif Dawg312.012.0 Maga Doge312.012.0 Simba's Dublin Green Sox312.012.0 Like a Nightmare210.010.0 Rieken Havoc17.07.0 Runtime Terror17.07.0 Long Balls17.07.0 Trex17.07.0 Gashouse Gang17.07.0 Big Sticks02.52.5 Magnum GI02.52.5 Guillotine02.52.5 Young Guns02.52.5 TeamWHIPPtsDif Long Balls1.074613.013.0 Dawg1.130412.012.0 Guillotine1.137911.011.0 Magnum GI1.144310.010.0 Runtime Terror1.20699.09.0 Maga Doge1.24048.08.0 Rieken Havoc1.26517.07.0 Big Sticks1.33986.06.0 Like a Nightmare1.35215.05.0 Trex1.36004.04.0 Simba's Dublin Green Sox1.39533.03.0 Gashouse Gang1.40912.02.0 Young Guns2.25001.01.0 TeamWQSPtsDif Rieken Havoc512.512.5 Maga Doge512.512.5 Magnum GI411.011.0 Dawg37.57.5 Runtime Terror37.57.5 Long Balls37.57.5 Trex37.57.5 Gashouse Gang37.57.5 Like a Nightmare37.57.5 Big Sticks24.04.0 Simba's Dublin Green Sox13.03.0 Guillotine01.51.5 Young Guns01.51.5
Team|HR|Pts|Dif
Dawg|8|12.5|12.5
Big Sticks|8|12.5|12.5
Trex|7|11.0|11.0
Magnum GI|6|9.5|9.5
Gashouse Gang|6|9.5|9.5
Rieken Havoc|5|7.5|7.5
Maga Doge|5|7.5|7.5
Runtime Terror|4|5.5|5.5
Young Guns|4|5.5|5.5
Long Balls|3|3.5|3.5
Guillotine|3|3.5|3.5
Simba's Dublin Green Sox|2|1.5|1.5
Like a Nightmare|2|1.5|1.5
Team|OBP|Pts|Dif
Rieken Havoc|.3795|13.0|13.0
Dawg|.3741|12.0|12.0
Guillotine|.3594|11.0|11.0
Big Sticks|.3517|10.0|10.0
Runtime Terror|.3459|9.0|9.0
Trex|.3453|8.0|8.0
Long Balls|.3289|7.0|7.0
Magnum GI|.3214|6.0|6.0
Young Guns|.3208|5.0|5.0
Maga Doge|.3121|4.0|4.0
Like a Nightmare|.3022|3.0|3.0
Gashouse Gang|.2903|2.0|2.0
Simba's Dublin Green Sox|.2690|1.0|1.0
Team|R|Pts|Dif
Rieken Havoc|27|13.0|13.0
Dawg|25|12.0|12.0
Runtime Terror|22|11.0|11.0
Big Sticks|21|9.5|9.5
Gashouse Gang|21|9.5|9.5
Magnum GI|20|8.0|8.0
Young Guns|18|7.0|7.0
Trex|16|6.0|6.0
Maga Doge|15|4.5|4.5
Guillotine|15|4.5|4.5
Long Balls|14|3.0|3.0
Like a Nightmare|11|2.0|2.0
Simba's Dublin Green Sox|10|1.0|1.0
Team|RBI|Pts|Dif
Trex|26|13.0|13.0
Runtime Terror|24|12.0|12.0
Rieken Havoc|23|11.0|11.0
Long Balls|20|9.5|9.5
Gashouse Gang|20|9.5|9.5
Big Sticks|18|7.0|7.0
Magnum GI|18|7.0|7.0
Young Guns|18|7.0|7.0
Maga Doge|15|5.0|5.0
Dawg|14|4.0|4.0
Simba's Dublin Green Sox|13|3.0|3.0
Guillotine|8|2.0|2.0
Like a Nightmare|7|1.0|1.0
Team|SB|Pts|Dif
Big Sticks|6|13.0|13.0
Dawg|5|11.0|11.0
Magnum GI|5|11.0|11.0
Guillotine|5|11.0|11.0
Trex|3|8.0|8.0
Gashouse Gang|3|8.0|8.0
Simba's Dublin Green Sox|3|8.0|8.0
Rieken Havoc|2|4.5|4.5
Maga Doge|2|4.5|4.5
Long Balls|2|4.5|4.5
Young Guns|2|4.5|4.5
Runtime Terror|1|1.5|1.5
Like a Nightmare|1|1.5|1.5
Team|ERA|Pts|Dif
Runtime Terror|2.793|13.0|13.0
Guillotine|3.103|12.0|12.0
Big Sticks|3.146|11.0|11.0
Magnum GI|3.897|10.0|10.0
Long Balls|4.030|9.0|9.0
Maga Doge|4.154|8.0|8.0
Rieken Havoc|4.229|7.0|7.0
Simba's Dublin Green Sox|4.395|6.0|6.0
Dawg|4.696|5.0|5.0
Gashouse Gang|4.909|4.0|4.0
Trex|5.040|3.0|3.0
Like a Nightmare|5.324|2.0|2.0
Young Guns|11.250|1.0|1.0
Team|K|Pts|Dif
Maga Doge|44|13.0|13.0
Big Sticks|35|11.5|11.5
Simba's Dublin Green Sox|35|11.5|11.5
Dawg|34|10.0|10.0
Long Balls|33|9.0|9.0
Guillotine|32|8.0|8.0
Magnum GI|31|7.0|7.0
Rieken Havoc|30|6.0|6.0
Like a Nightmare|29|5.0|5.0
Gashouse Gang|28|4.0|4.0
Runtime Terror|24|2.5|2.5
Trex|24|2.5|2.5
Young Guns|11|1.0|1.0
Team|S|Pts|Dif
Dawg|3|12.0|12.0
Maga Doge|3|12.0|12.0
Simba's Dublin Green Sox|3|12.0|12.0
Like a Nightmare|2|10.0|10.0
Rieken Havoc|1|7.0|7.0
Runtime Terror|1|7.0|7.0
Long Balls|1|7.0|7.0
Trex|1|7.0|7.0
Gashouse Gang|1|7.0|7.0
Big Sticks|0|2.5|2.5
Magnum GI|0|2.5|2.5
Guillotine|0|2.5|2.5
Young Guns|0|2.5|2.5
Team|WHIP|Pts|Dif
Long Balls|1.0746|13.0|13.0
Dawg|1.1304|12.0|12.0
Guillotine|1.1379|11.0|11.0
Magnum GI|1.1443|10.0|10.0
Runtime Terror|1.2069|9.0|9.0
Maga Doge|1.2404|8.0|8.0
Rieken Havoc|1.2651|7.0|7.0
Big Sticks|1.3398|6.0|6.0
Like a Nightmare|1.3521|5.0|5.0
Trex|1.3600|4.0|4.0
Simba's Dublin Green Sox|1.3953|3.0|3.0
Gashouse Gang|1.4091|2.0|2.0
Young Guns|2.2500|1.0|1.0
Team|WQS|Pts|Dif
Rieken Havoc|5|12.5|12.5
Maga Doge|5|12.5|12.5
Magnum GI|4|11.0|11.0
Dawg|3|7.5|7.5
Runtime Terror|3|7.5|7.5
Long Balls|3|7.5|7.5
Trex|3|7.5|7.5
Gashouse Gang|3|7.5|7.5
Like a Nightmare|3|7.5|7.5
Big Sticks|2|4.0|4.0
Simba's Dublin Green Sox|1|3.0|3.0
Guillotine|0|1.5|1.5
Young Guns|0|1.5|1.5

=== Period 2 (Mon, Mar 30 - Sun, Apr 05) ===
Rank|Team|Batting|Pitching|Total|Dif|Behind
1|Magnum GI|56.5|57.5|114.0|32.0|0.0
2|Young Guns|51.0|29.0|80.0|44.0|34.0
3|Trex|39.0|40.0|79.0|9.0|35.0
4|Long Balls|19.5|56.5|76.0|3.0|38.0
5|Rieken Havoc|21.5|50.0|71.5|-17.0|42.5
6|Simba's Dublin Green Sox|26.5|43.0|69.5|19.5|44.5
7|Runtime Terror|53.0|13.5|66.5|-11.5|47.5
8|Dawg|29.0|37.0|66.0|-32.0|48.0
9|Big Sticks|30.5|34.0|64.5|-22.5|49.5
10|Maga Doge|43.0|20.0|63.0|-16.0|51.0
11|Like a Nightmare|23.5|30.5|54.0|15.5|60.0
12|Guillotine|24.0|29.0|53.0|-14.0|61.0
12|Gashouse Gang|38.0|15.0|53.0|-10.0|61.0
