source: https://buecker.baseball.cbssports.com/standings/overall
captured: 2026-08-18T21:17:27
---
League
My Team
Players
Scores
Standings
Advice
Bob Uecker Imaginary Baseball League
Runtime Terror
Runtime Terror
(7th)
Standings
 
ADD/DROP
 
TRADES
2 / 13
WAIVER #
OVERALL
BY PERIOD
YEAR
2026
PERIOD
PERIOD 22 (MON, AUG 17 - SUN, AUG 23)
RANK
	
TEAM
	
BATTING
	
PITCHING
	
TOTAL
	
DIF
	
BEHIND

1	Big Sticks	49.0	36.0	85.0	-1.0	0.0
2	Dawg	54.0	30.0	84.0	0.0	1.0
3	Young Guns	43.0	40.5	83.5	1.5	1.5
4	Like a Nightmare	39.0	44.0	83.0	0.0	2.0
5	Rieken Havoc	33.0	48.5	81.5	0.0	3.5
6	Maga Doge	56.0	22.5	78.5	0.0	6.5
7	Runtime Terror	40.0	35.0	75.0	1.0	10.0
8	Long Balls	21.5	47.0	68.5	-1.5	16.5
9	Guillotine	27.5	40.0	67.5	0.5	17.5
10	Gashouse Gang	20.0	37.0	57.0	-0.5	28.0
11	Simba's Dublin Green Sox	28.0	24.0	52.0	0.0	33.0
12	Trex	27.0	24.5	51.5	0.0	33.5
13	Magnum GI	17.0	26.0	43.0	0.0	42.0
Batting Breakdown
TEAM	HR	PTS	DIF
Maga Doge	254	13.0	0.0
Dawg	238	12.0	0.0
Young Guns	227	11.0	0.0
Big Sticks	224	10.0	0.0
Like a Nightmare	222	9.0	0.0
Runtime Terror	194	8.0	0.0
Simba's Dublin Green Sox	191	7.0	0.0
Long Balls	190	5.5	-0.5
Guillotine	190	5.5	0.5
Gashouse Gang	169	4.0	0.0
Rieken Havoc	167	3.0	0.0
Trex	166	2.0	0.0
Magnum GI	156	1.0	0.0
TEAM	OBP	PTS	DIF
Dawg	.3492	13.0	0.0
Runtime Terror	.3392	12.0	0.0
Maga Doge	.3358	11.0	0.0
Trex	.3328	10.0	0.0
Big Sticks	.3321	9.0	0.0
Rieken Havoc	.3317	8.0	0.0
Gashouse Gang	.3312	7.0	0.0
Young Guns	.3308	6.0	0.0
Long Balls	.3272	5.0	0.0
Magnum GI	.3213	4.0	0.0
Like a Nightmare	.3173	3.0	0.0
Guillotine	.3159	2.0	0.0
Simba's Dublin Green Sox	.3132	1.0	0.0
TEAM	R	PTS	DIF
Dawg	827	13.0	0.0
Maga Doge	808	12.0	0.0
Young Guns	755	11.0	0.0
Big Sticks	742	10.0	0.0
Runtime Terror	736	9.0	0.0
Like a Nightmare	734	8.0	0.0
Guillotine	711	7.0	0.0
Gashouse Gang	704	6.0	0.0
Rieken Havoc	703	5.0	0.0
Magnum GI	683	4.0	0.0
Trex	674	3.0	0.0
Long Balls	629	2.0	0.0
Simba's Dublin Green Sox	619	1.0	0.0
TEAM	RBI	PTS	DIF
