source: https://buecker.baseball.cbssports.com/stats/stats-main/fa:P/period-22:p/standard/projections?print_rows=9999
captured: 2026-08-22T20:24:42
---
ACTION|AVAIL|PLAYER|INNS|APP|GS|QS|CG|W|L|S|BS|HD|K|BB|H|ERA|WHIP|RANK
Action|Avail|Player|INNs|APP|GS|QS|CG|W|L|S|BS|HD|K|BB|H|ERA|WHIP|Rank
1674411|P|W (8/24)|Martin Perez P • ATL|11.0|2.0|2.0|0.6|0.0|0.7|0.6|0.0|0.0|0.0|8.2|3.7|8.7|3.06|1.13|12
2837306|P|FA|Bailey Ober P • MIN|11.2|2.0|2.0|0.8|0.1|0.5|0.6|0.0|0.0|0.0|9.2|2.4|10.3|3.83|1.09|14
2250593|P|FA|Cal Quantrill P • TEX|9.2|2.0|2.0|0.5|0.0|0.5|0.6|0.0|0.0|0.0|7.6|2.5|8.4|3.25|1.12|16
29644478|P|FA|Jackson Kent P • WAS|11.0|2.0|2.0|0.7|0.0|0.5|0.6|0.0|0.0|0.0|10.3|3.5|10.4|3.86|1.26|31
29075725|P|FA|Landen Roupp P • SF|5.2|1.0|1.0|0.4|0.0|0.4|0.3|0.0|0.0|0.0|5.4|1.9|4.3|2.76|1.08|35
29153545|P|FA|Rhett Lowder P • CIN|10.1|2.0|2.0|0.6|0.0|0.5|0.7|0.0|0.0|0.0|8.5|3.0|9.4|3.85|1.20|38
2223751|P|FA|Luis Castillo P • CHW|11.0|2.0|2.0|0.9|0.0|0.5|0.6|0.0|0.0|0.0|9.8|3.7|10.0|4.16|1.24|42
29321685|P|FA|Jack Perkins P • ATH|10.0|2.0|2.0|0.1|0.0|0.4|0.6|0.0|0.0|0.0|10.9|3.4|8.9|4.54|1.24|57
2443746|P|FA|Drew Anderson P • DET|5.1|1.0|1.0|0.3|0.0|0.2|0.2|0.0|0.0|0.0|5.8|1.3|4.2|3.01|1.03|63
3077699|P|FA|Dean Kremer P • MIN|6.0|1.0|1.0|0.4|0.0|0.3|0.3|0.0|0.0|0.0|5.3|1.6|4.8|3.40|1.08|77
3152767|P|FA|Daniel Duarte P • NYM|3.0|2.5|0.0|0.0|0.0|0.2|0.1|0.0|0.0|0.7|3.3|0.9|1.5|1.15|0.79|82
2835074|P|FA|David Peterson P • CHC|5.2|1.0|1.0|0.3|0.0|0.4|0.2|0.0|0.0|0.0|4.7|1.7|4.8|3.47|1.13|88
2910637|P|FA|Cristian Javier P • HOU|8.2|2.0|2.0|0.4|0.0|0.5|0.5|0.0|0.0|0.0|7.1|3.2|8.4|3.87|1.33|98
26912475|P|FA|Jacob Lopez P • ATH|5.0|1.0|1.0|0.2|0.0|0.3|0.3|0.0|0.0|0.0|4.9|1.7|4.1|2.98|1.17|109
2837059|P|FA|Janson Junk P • MIA|10.1|2.0|2.0|0.5|0.0|0.6|0.8|0.0|0.0|0.0|7.6|2.8|10.7|4.51|1.31|111
2836690|P|FA|Joey Cantillo P • CLE|5.1|1.0|1.0|0.2|0.0|0.3|0.3|0.0|0.0|0.0|5.7|1.7|4.6|3.89|1.18|112
29295971|P|FA|William Dion P • WAS|4.0|2.0|0.0|0.0|0.0|0.2|0.1|0.0|0.0|0.3|4.5|0.7|3.2|2.87|0.99|115
29075773|P|FA|Spencer Arrighetti P • TOR|5.2|1.0|1.0|0.4|0.0|0.3|0.4|0.0|0.0|0.0|5.1|2.1|4.1|3.76|1.10|118
26912443|P|FA|Bubba Chandler P • PIT|5.1|1.0|1.0|0.2|0.0|0.2|0.3|0.0|0.0|0.0|4.7|1.9|4.0|3.71|1.11|128
2227187|P|FA|Jeffrey Springs P • ATH|5.1|1.0|1.0|0.3|0.0|0.2|0.4|0.0|0.0|0.0|4.3|1.5|4.2|3.55|1.08|134
29075475|P|FA|Blade Tidwell P • SF|5.2|1.0|1.0|0.3|0.0|0.2|0.3|0.0|0.0|0.0|4.0|1.5|4.5|3.25|1.06|136
26911746|P|FA|A.J. Smith-Shawver P • ATL|5.1|1.0|1.0|0.3|0.0|0.3|0.2|0.0|0.0|0.0|5.0|1.6|4.6|4.11|1.15|150
26615394|P|FA|Jared Jones P • PIT|5.0|1.0|1.0|0.3|0.0|0.2|0.3|0.0|0.0|0.0|5.2|1.7|3.8|3.75|1.10|151
29295945|P|FA|Hunter Dobbins P • STL|5.1|1.0|1.0|0.3|0.0|0.2|0.4|0.0|0.0|0.0|4.7|1.4|4.9|3.51|1.18|154
2184468|P|FA|Walker Buehler P • SD|9.2|2.0|2.0|0.5|0.0|0.4|0.7|0.0|0.0|0.0|8.0|3.7|9.6|4.33|1.38|157
1947840|P|FA|Adrian Houser P • SF|5.2|1.0|1.0|0.3|0.0|0.2|0.4|0.0|0.0|0.0|3.8|1.4|4.9|3.37|1.11|160
29342217|P|FA|Andrew Alvarez P • WAS|5.1|1.0|1.0|0.1|0.0|0.0|0.2|0.0|0.0|0.0|4.8|1.3|4.5|3.01|1.10|161
2114418|P|FA|Chris Bassitt P • BAL|5.1|1.0|1.0|0.3|0.0|0.3|0.3|0.0|0.0|0.0|4.8|1.8|5.2|3.58|1.30|164
26911814|P|FA|Cody Bradford P • TEX|5.1|1.0|1.0|0.5|0.0|0.2|0.2|0.0|0.0|0.0|4.5|1.6|5.1|3.33|1.27|169
2870041|P|FA|Randy Dobnak P • KC|5.0|1.0|1.0|0.3|0.0|0.4|0.2|0.0|0.0|0.0|4.0|1.6|5.1|3.42|1.35|170
29383425|P|FA|Matt Wilkinson P • SF|5.1|1.0|1.0|0.4|0.0|0.2|0.4|0.0|0.0|0.0|4.8|1.5|4.8|3.58|1.19|173
26911742|P|FA|Robert Gasser P • MIL|5.0|1.0|1.0|0.3|0.0|0.3|0.2|0.0|0.0|0.0|4.9|1.4|5.1|3.83|1.28|182
29075501|P|FA|Carson Whisenhunt P • SF|5.1|1.0|1.0|0.2|0.0|0.3|0.4|0.0|0.0|0.0|4.3|2.1|4.6|4.04|1.26|189
2942971|P|FA|Grayson Rodriguez P • LAA|5.0|1.0|1.0|0.2|0.0|0.3|0.3|0.0|0.0|0.0|4.7|1.8|4.5|4.61|1.26|193
2000754|P|FA|Brooks Raley P • PHI|2.0|1.9|0.0|0.0|0.0|0.2|0.1|0.0|0.0|0.6|1.6|0.5|1.1|1.81|0.83|194
26911747|P|FA|Dylan Dodd P • ATL|2.1|2.0|0.0|0.0|0.0|0.1|0.1|0.0|0.0|0.6|2.3|0.6|1.5|2.56|0.90|195
