source: https://buecker.baseball.cbssports.com/standings/overall
captured: 2026-08-22T20:24:15
---
League
My Team
Players
Scores
Standings
Advice
1
Bob Uecker Imaginary Baseball League
Runtime Terror
Runtime Terror
(7th)
Standings
 
ADD/DROP
 
TRADES
1
2 / 13
WAIVER #
OVERALL
BY PERIOD
YEAR
2026
PERIOD
PERIOD 22 (MON, AUG 17 - SUN, AUG 23)
RANK
	
TEAM
	
BATTING
	
PITCHING
	
TOTAL
	
DIF
	
BEHIND

1	Big Sticks	51.0	37.5	88.5	2.5	0.0
2	Dawg	54.0	29.5	83.5	-0.5	5.0
3	Like a Nightmare	39.0	44.0	83.0	0.0	5.5
3	Young Guns	42.0	41.0	83.0	1.0	5.5
5	Rieken Havoc	31.0	50.5	81.5	0.0	7.0
6	Maga Doge	55.0	22.0	77.0	-1.5	11.5
7	Runtime Terror	42.0	31.0	73.0	-1.0	15.5
8	Long Balls	22.5	48.5	71.0	1.0	17.5
9	Guillotine	29.5	40.0	69.5	2.5	19.0
10	Gashouse Gang	22.0	37.5	59.5	2.0	29.0
11	Simba's Dublin Green Sox	28.0	23.0	51.0	-1.0	37.5
12	Trex	24.0	24.0	48.0	-3.5	40.5
13	Magnum GI	15.0	26.5	41.5	-1.5	47.0
Batting Breakdown
TEAM	HR	PTS	DIF
Maga Doge	257	13.0	0.0
Dawg	244	12.0	0.0
Young Guns	230	11.0	0.0
Big Sticks	229	10.0	0.0
Like a Nightmare	225	9.0	0.0
Runtime Terror	200	8.0	0.0
Simba's Dublin Green Sox	198	7.0	0.0
Long Balls	195	5.5	-0.5
Guillotine	195	5.5	0.5
Gashouse Gang	175	4.0	0.0
Rieken Havoc	171	3.0	0.0
Trex	170	2.0	0.0
Magnum GI	156	1.0	0.0
TEAM	OBP	PTS	DIF
Dawg	.3480	13.0	0.0
Runtime Terror	.3400	12.0	0.0
Maga Doge	.3350	11.0	0.0
Big Sticks	.3320	10.0	1.0
Gashouse Gang	.3317	9.0	2.0
Trex	.3311	8.0	-2.0
Young Guns	.3298	7.0	1.0
Rieken Havoc	.3296	6.0	-2.0
Long Balls	.3282	5.0	0.0
Magnum GI	.3197	4.0	0.0
Like a Nightmare	.3177	3.0	0.0
Guillotine	.3172	2.0	0.0
Simba's Dublin Green Sox	.3152	1.0	0.0
TEAM	R	PTS	DIF
Dawg	844	13.0	0.0
Maga Doge	831	12.0	0.0
Young Guns	770	11.0	0.0
Big Sticks	766	10.0	0.0
Runtime Terror	765	9.0	0.0
Like a Nightmare	758	8.0	0.0
Guillotine	726	7.0	0.0
Gashouse Gang	722	6.0	0.0
