source: https://buecker.baseball.cbssports.com/standings/overall
captured: 2026-08-26T06:08:35
---
League
My Team
Players
Scores
Standings
Advice
Bob Uecker Imaginary Baseball League
Runtime Terror
Runtime Terror
(8th)
Standings
 
ADD/DROP
 
TRADES
2 / 13
WAIVER #
OVERALL
BY PERIOD
YEAR
2026
PERIOD
PERIOD 23 (MON, AUG 24 - SUN, AUG 30)
RANK
	
TEAM
	
BATTING
	
PITCHING
	
TOTAL
	
DIF
	
BEHIND

1	Dawg	54.0	32.5	86.5	0.5	0.0
2	Young Guns	42.0	40.0	82.0	-0.5	4.5
3	Like a Nightmare	38.0	43.5	81.5	-2.5	5.0
3	Big Sticks	45.0	36.5	81.5	-2.0	5.0
5	Rieken Havoc	33.0	48.0	81.0	0.5	5.5
6	Maga Doge	55.5	23.0	78.5	0.0	8.0
7	Long Balls	28.0	49.0	77.0	1.0	9.5
8	Runtime Terror	39.0	33.0	72.0	-1.0	14.5
9	Guillotine	27.0	41.0	68.0	-0.5	18.5
10	Gashouse Gang	21.0	37.0	58.0	-1.5	28.5
11	Trex	28.0	25.0	53.0	7.5	33.5
12	Simba's Dublin Green Sox	30.0	20.5	50.5	-3.0	36.0
13	Magnum GI	14.5	26.0	40.5	1.5	46.0
Batting Breakdown
TEAM	HR	PTS	DIF
Maga Doge	264	13.0	0.0
Dawg	251	12.0	0.0
Young Guns	236	11.0	0.0
Big Sticks	234	10.0	0.0
Like a Nightmare	228	9.0	0.0
Simba's Dublin Green Sox	206	8.0	0.0
Long Balls	203	7.0	1.0
Runtime Terror	202	6.0	-1.0
Guillotine	198	5.0	0.0
Gashouse Gang	180	4.0	0.0
Rieken Havoc	178	3.0	0.0
Trex	174	2.0	0.0
Magnum GI	161	1.0	0.0
TEAM	OBP	PTS	DIF
Dawg	.3478	13.0	0.0
Runtime Terror	.3401	12.0	0.0
Maga Doge	.3338	11.0	0.0
Trex	.3313	10.0	2.0
Gashouse Gang	.3312	9.0	-1.0
Long Balls	.3307	8.0	1.0
Big Sticks	.3303	7.0	-2.0
Rieken Havoc	.3298	6.0	1.0
Young Guns	.3295	5.0	-1.0
Magnum GI	.3192	4.0	1.0
Like a Nightmare	.3189	3.0	-1.0
Guillotine	.3169	2.0	0.0
Simba's Dublin Green Sox	.3155	1.0	0.0
TEAM	R	PTS	DIF
Dawg	869	13.0	0.0
Maga Doge	850	12.0	0.0
Young Guns	791	11.0	0.0
Runtime Terror	790	10.0	0.0
Big Sticks	782	9.0	0.0
Like a Nightmare	775	8.0	0.0
Guillotine	746	7.0	0.5
Rieken Havoc	745	6.0	-0.5
