source: https://buecker.baseball.cbssports.com/stats/stats-main?print_rows=9999
captured: 2026-09-01T09:01:51
---
ACTION|AVAIL|PLAYER|AB|R|H|1B|2B|3B|HR|RBI|BB|K|SB|CS|AVG|OBP|SLG|RANK
Action|Avail|Player|AB|R|H|1B|2B|3B|HR|RBI|BB|K|SB|CS|AVG|OBP|SLG|Rank
29077614|3B|FA|Hao Yu Lee 2B,3B • DET|20.5|3.2|6.0|3.9|1.2|0.1|0.8|3.6|1.7|4.4|0.3|0.1|.294|.348|.484|213
50041105|SS|FA|John Peck SS • DET|17.3|2.8|4.8|3.1|0.9|0.2|0.6|2.4|1.4|3.9|0.6|0.1|.279|.338|.455|392
2250588|OF|W (9/2)|Mickey Moniak OF • COL|19.7|2.5|4.9|2.6|1.0|0.3|1.1|3.0|1.2|5.9|0.2|0.1|.250|.294|.488|407
29342224|OF|FA|Brett Bateman OF • TOR|18.5|2.6|5.1|3.4|1.0|0.2|0.6|2.3|1.7|4.1|0.6|0.1|.277|.340|.443|443
29153550|2B|FA|Jacob Gonzalez 1B,2B,SS • PIT|21.2|2.7|5.2|3.4|0.9|0.1|0.7|3.1|1.7|4.7|0.4|0.2|.244|.303|.397|447
26615338|U|W (9/2)|Colt Keith 2B,3B • DET|17.5|2.8|5.1|3.4|1.0|0.2|0.6|2.3|1.5|3.6|0.2|0.0|.292|.354|.470|465
29644453|OF|FA|Ryan Waldschmidt OF • ARI|19.3|2.7|5.0|3.3|1.1|0.2|0.5|2.5|1.7|5.0|0.6|0.2|.261|.322|.410|498
26757037|OF|FA|Dustin Harris OF • SD|17.1|2.6|4.6|3.2|0.8|0.2|0.4|2.4|1.6|3.6|0.6|0.2|.266|.333|.407|553
2507353|2B|FA|Andres Gimenez 2B,SS • TOR|17.2|2.0|4.6|3.2|0.9|0.1|0.4|2.4|0.9|3.4|0.9|0.2|.266|.318|.400|555
1945481|SS|FA|Xander Bogaerts SS • SD|19.2|2.7|4.6|3.4|0.8|0.0|0.5|2.4|2.4|4.0|0.8|0.1|.241|.327|.355|563
2135254|OF|FA|Derek Hill OF • PHI|16.5|2.1|3.9|2.7|0.5|0.1|0.7|2.1|0.8|5.2|0.9|0.1|.239|.279|.395|564
28920020|OF|FA|Justin Crawford OF • PHI|19.9|2.4|5.5|4.0|1.0|0.2|0.3|2.1|1.4|4.1|0.8|0.2|.276|.326|.390|581
29426030|2B|W (9/2)|Travis Bazzana 2B • CLE|18.3|2.2|4.7|3.1|0.9|0.2|0.6|2.3|1.9|4.0|0.7|0.2|.255|.331|.411|589
2875260|C|W (9/2)|Alejandro Kirk C • TOR|17.7|1.8|5.0|3.5|0.7|0.0|0.7|3.1|2.0|2.5|0.1|0.0|.280|.351|.443|591
2184354|OF|FA|Andrew Benintendi OF • CHW|18.0|2.6|4.6|2.7|1.1|0.2|0.7|3.0|1.6|4.2|0.1|0.0|.256|.316|.447|592
3152047|OF|FA|Brenton Doyle OF • CHW|17.0|2.6|3.8|2.5|0.7|0.1|0.5|2.1|1.5|5.0|1.0|0.1|.222|.284|.360|601
28838890|OF|FA|Tyler Tolbert SS,OF • KC|14.2|2.0|3.9|2.7|0.8|0.1|0.4|1.5|1.1|2.7|1.0|0.2|.271|.327|.411|607
3117474|1B|FA|Andrew Vaughn 1B • MIL|15.8|2.2|4.4|2.9|0.8|0.1|0.6|2.9|1.5|3.2|0.0|0.0|.278|.349|.452|613
2837246|OF|FA|Garrett Mitchell OF • MIL|14.7|2.4|3.8|2.3|0.9|0.1|0.5|2.3|1.6|4.6|0.4|0.2|.260|.340|.439|616
29075697|OF|FA|Henry Bolte OF • ATH|17.6|2.4|5.1|3.7|0.7|0.4|0.3|1.5|1.4|5.1|0.7|0.3|.288|.354|.421|617
2825651|OF|FA|Esteury Ruiz OF • MIA|13.3|2.1|3.2|1.9|0.7|0.1|0.5|1.5|1.4|4.5|1.1|0.3|.240|.327|.421|618
2167484|OF|FA|Jorge Mateo SS,OF • TB|14.3|2.4|3.4|2.4|0.6|0.1|0.4|1.5|1.1|4.0|1.1|0.2|.240|.291|.367|620
2117042|3B|FA|Amed Rosario 3B • NYY|12.0|1.8|3.7|2.4|0.5|0.2|0.7|2.1|0.5|2.6|0.2|0.1|.309|.343|.548|625
26719606|OF|FA|Sal Frelick OF • MIL|18.6|2.6|4.7|3.3|1.0|0.1|0.4|2.4|1.6|2.8|0.5|0.2|.254|.318|.375|628
29153551|U|FA|Bryce Eldridge 1B • SF|18.9|2.5|4.7|3.0|1.0|0.0|0.7|2.5|2.6|5.7|0.1|0.0|.251|.341|.423|631
28841190|3B|W (9/2)|Caleb Durbin 3B • BOS|14.3|2.2|3.7|2.5|0.8|0.0|0.4|2.1|1.2|2.2|0.5|0.2|.260|.331|.407|637
29084415|OF|FA|Wade Meckler OF • LAA|17.4|2.4|4.5|3.1|0.8|0.1|0.5|2.1|1.7|4.6|0.4|0.1|.257|.329|.398|639
29155727|1B|FA|Nolan Schanuel 1B • LAA|20.4|2.8|5.1|3.5|1.0|0.1|0.5|2.5|2.2|3.5|0.1|0.0|.251|.333|.383|640
2932701|2B|FA|Brendan Donovan 2B,3B • SEA|18.9|2.3|5.3|3.6|1.2|0.1|0.4|2.3|1.6|3.2|0.2|0.1|.281|.347|.421|641
26911715|OF|FA|Denzel Clarke OF • ATH|19.7|2.5|4.6|3.4|0.7|0.1|0.4|2.4|1.1|6.6|0.7|0.1|.233|.286|.338|644
1811026|U|FA|Joc Pederson DH • TEX|14.9|2.0|3.6|1.9|0.6|0.1|1.0|2.1|1.6|4.1|0.1|0.0|.240|.321|.492|647
2227773|OF|FA|Nathan Lukes OF • TOR|16.9|2.3|4.6|3.2|0.8|0.1|0.6|2.2|1.5|3.0|0.2|0.1|.269|.334|.424|648
28920031|OF|FA|Drew Gilbert OF • SF|19.6|2.6|4.8|3.1|0.9|0.2|0.6|2.4|1.8|4.5|0.2|0.1|.246|.318|.408|649
