source: https://buecker.baseball.cbssports.com/standings/overall
captured: 2026-09-14T08:58:01
---
League
My Team
Players
Scores
Standings
Advice
Bob Uecker Imaginary Baseball League
Runtime Terror
Runtime Terror
(5th)
Standings
 
ADD/DROP
 
TRADES
2 / 13
WAIVER #
OVERALL
BY PERIOD
YEAR
2026
PERIOD
PERIOD 26 (MON, SEP 14 - SUN, SEP 20)
RANK
	
TEAM
	
BATTING
	
PITCHING
	
TOTAL
	
DIF
	
BEHIND

1	Young Guns	48.5	39.0	87.5	0.0	0.0
1	Big Sticks	44.5	43.0	87.5	0.0	0.0
3	Dawg	54.0	32.0	86.0	0.0	1.5
4	Maga Doge	56.0	24.0	80.0	0.0	7.5
5	Like a Nightmare	41.0	37.0	78.0	0.0	9.5
5	Runtime Terror	40.0	38.0	78.0	0.0	9.5
7	Rieken Havoc	34.0	42.0	76.0	0.0	11.5
8	Long Balls	27.0	48.0	75.0	0.0	12.5
9	Guillotine	25.0	49.0	74.0	0.0	13.5
10	Simba's Dublin Green Sox	29.5	26.0	55.5	0.0	32.0
11	Gashouse Gang	20.0	35.0	55.0	0.0	32.5
12	Trex	23.5	21.0	44.5	0.0	43.0
13	Magnum GI	12.0	21.0	33.0	0.0	54.5
Batting Breakdown
TEAM	HR	PTS	DIF
Maga Doge	294	13.0	0.0
Dawg	276	12.0	0.0
Young Guns	267	11.0	0.0
Like a Nightmare	254	10.0	0.0
Big Sticks	253	9.0	0.0
Runtime Terror	233	8.0	0.0
Simba's Dublin Green Sox	231	7.0	0.0
Long Balls	230	6.0	0.0
Guillotine	225	5.0	0.0
Rieken Havoc	218	4.0	0.0
Gashouse Gang	208	3.0	0.0
Trex	203	2.0	0.0
Magnum GI	178	1.0	0.0
TEAM	OBP	PTS	DIF
Dawg	.3437	13.0	0.0
Runtime Terror	.3364	12.0	0.0
Young Guns	.3333	11.0	0.0
Maga Doge	.3322	10.0	0.0
Long Balls	.3314	9.0	0.0
Big Sticks	.3313	8.0	0.0
Gashouse Gang	.3309	7.0	0.0
Trex	.3306	6.0	0.0
Rieken Havoc	.3287	5.0	0.0
Like a Nightmare	.3222	4.0	0.0
Guillotine	.3196	3.0	0.0
Magnum GI	.3182	2.0	0.0
Simba's Dublin Green Sox	.3171	1.0	0.0
TEAM	R	PTS	DIF
Dawg	971	13.0	0.0
Maga Doge	954	12.0	0.0
Young Guns	900	11.0	0.0
Runtime Terror	888	10.0	0.0
Like a Nightmare	873	9.0	0.0
Big Sticks	867	8.0	0.0
Rieken Havoc	864	7.0	0.0
Guillotine	851	6.0	0.0
Gashouse Gang	831	5.0	0.0
Trex	822	4.0	0.0
Magnum GI	779	3.0	0.0
Long Balls	774	2.0	0.0
Simba's Dublin Green Sox	764	1.0	0.0
TEAM	RBI	PTS	DIF
Big Sticks	906	13.0	0.0
Maga Doge	890	12.0	0.0
Dawg	841	11.0	0.0
Simba's Dublin Green Sox	832	10.0	0.0
Young Guns	825	9.0	0.0
Long Balls	822	8.0	0.0
Runtime Terror	816	7.0	0.0
Rieken Havoc	795	6.0	0.0
Like a Nightmare	794	5.0	0.0
Gashouse Gang	784	4.0	0.0
Guillotine	768	3.0	0.0
Magnum GI	739	2.0	0.0
Trex	689	1.0	0.0
TEAM	SB	PTS	DIF
Like a Nightmare	176	13.0	0.0
Rieken Havoc	158	12.0	0.0
Simba's Dublin Green Sox	145	10.5	0.0
Trex	145	10.5	0.0
Maga Doge	143	9.0	0.0
Guillotine	138	8.0	0.0
Young Guns	132	6.5	0.0
Big Sticks	132	6.5	0.0
Dawg	123	5.0	0.0
Magnum GI	113	4.0	0.0
Runtime Terror	110	3.0	0.0
Long Balls	96	2.0	0.0
Gashouse Gang	83	1.0	0.0
	 	
Pitching Breakdown
TEAM	ERA	PTS	DIF
Runtime Terror	3.522	13.0	0.0
Guillotine	3.579	12.0	0.0
Long Balls	3.607	11.0	0.0
Rieken Havoc	3.616	10.0	0.0
Gashouse Gang	3.684	9.0	0.0
Big Sticks	3.699	8.0	0.0
Dawg	3.734	7.0	0.0
Simba's Dublin Green Sox	4.025	6.0	0.0
Young Guns	4.026	5.0	0.0
Trex	4.071	4.0	0.0
Like a Nightmare	4.130	3.0	0.0
Maga Doge	4.307	2.0	0.0
Magnum GI	4.314	1.0	0.0
TEAM	K	PTS	DIF
Long Balls	1374	13.0	0.0
Guillotine	1268	12.0	0.0
Young Guns	1257	11.0	0.0
Big Sticks	1244	10.0	0.0
Like a Nightmare	1241	9.0	0.0
Maga Doge	1215	8.0	0.0
Rieken Havoc	1213	7.0	0.0
Runtime Terror	1126	6.0	0.0
Gashouse Gang	1119	5.0	0.0
Magnum GI	1092	4.0	0.0
Trex	1079	3.0	0.0
Dawg	1073	2.0	0.0
Simba's Dublin Green Sox	1057	1.0	0.0
TEAM	S	PTS	DIF
Like a Nightmare	82	13.0	0.0
Rieken Havoc	81	12.0	0.0
Magnum GI	79	11.0	0.0
Big Sticks	65	10.0	0.0
Long Balls	59	9.0	0.0
Trex	54	8.0	0.0
Gashouse Gang	48	7.0	0.0
Maga Doge	47	6.0	0.0
Runtime Terror	42	5.0	0.0
Simba's Dublin Green Sox	41	4.0	0.0
Dawg	32	3.0	0.0
Guillotine	25	2.0	0.0
Young Guns	23	1.0	0.0
TEAM	WHIP	PTS	DIF
Gashouse Gang	1.1528	13.0	0.0
Dawg	1.1805	12.0	0.0
Guillotine	1.1987	11.0	0.0
Like a Nightmare	1.1995	10.0	0.0
Young Guns	1.2105	9.0	0.0
Rieken Havoc	1.2200	8.0	0.0
Runtime Terror	1.2245	7.0	0.0
Big Sticks	1.2257	6.0	0.0
Long Balls	1.2402	5.0	0.0
Simba's Dublin Green Sox	1.2428	4.0	0.0
Trex	1.2462	3.0	0.0
Maga Doge	1.2506	2.0	0.0
Magnum GI	1.3221	1.0	0.0
TEAM	WQS	PTS	DIF
Young Guns	181	13.0	0.0
Guillotine	176	12.0	0.0
Simba's Dublin Green Sox	171	11.0	0.0
Long Balls	163	10.0	0.0
Big Sticks	162	9.0	0.0
Dawg	160	8.0	0.0
Runtime Terror	157	7.0	0.0
Maga Doge	152	6.0	0.0
Rieken Havoc	147	5.0	0.0
Magnum GI	146	4.0	0.0
Trex	142	3.0	0.0
Like a Nightmare	141	2.0	0.0
Gashouse Gang	134	1.0	0.0
STANDINGS UPDATED AS OF 09/14/26 09:58 AM ET
More
Pick'em Games
Fantasy Sports
Free Sports TV
Best Betting Apps
Best Prediction Apps
March Madness
Mobile Apps
Company
About Us
Careers
About Paramount
Paramount+
CBS TV
Regulation
Terms Of Use
Privacy Policy
Minors' Privacy Policy
Your Privacy Choices
Closed Captioning
California Notice
Contact Us
Help
Customer Care
Social Media
YouTube
TikTok
Instagram
Facebook
X
Threads
Flipboard
Account
Manage My Account
Newsletters
My Teams
Forgot Password

© 2004-2025 CBS Interactive. ALL RIGHTS RESERVED.

CBS Sports is a registered trademark of CBS Broadcasting Inc. Commissioner is a registered service mark of CBS Interactive Inc. Scout Fantasy is a registered service mark of CBS 247 Inc.

The content on this site is for entertainment purposes only and CBS Sports makes no representation or warranty as to the accuracy of the information given or the outcome of any game or event. There is no gambling offered on this site. This site contains commercial content and CBS Sports may be compensated for the links provided on this site.

Images by Getty Images and Imagn
