source: https://buecker.baseball.cbssports.com/teams/roster-grid
captured: 2026-09-15T07:02:31
---
TEAM|C|1B|2B|3B|SS|MI|CI|OF|U|P
Big Sticks|S Perez|B Harper|B Lowe|J Caminero|G Perdomo|R Palacios|B Eldridge|J Sanoja; A Burleson; J Rodriguez; O Cruz; J Baez(R)|R O'Hearn|R Suarez; J Luzardo; W Buehler; M Montgomery; H Brown; A Nola; J Soriano; J Hader; G Jax; C Quantrill(R); N Eovaldi(I)
Dawg|D Dingler|M Murakami|F Tatis Jr.|H Yu Lee; R Lewis(R)|J Pena|C Seager|W Contreras|R Arozarena; B Reynolds; S Suzuki; J Altuve|J De Paula; S Ohtani (Batter)(I)|M Fried; C Rodon; K Gausman; Y Kikuchi; C Holmes; Y Yamamoto; T Bibee; K Jansen; N Martinez; A Ashby(R); J Flaherty(I); E Diaz(I)
Gashouse Gang|W Contreras|C Walker|L Garcia|A Bregman|B Bichette|K McGonigle|L Arraez|G Springer; M Dubon; J Hoo Lee; B Nimmo|D Baldwin|J Ryan; M Boyd; C Mize; C Smith; A Morejon; D Lee; J Misiorowski; G Whitlock; T Skubal; S Baz(R); J Leiter(I); S Smith(M)
Guillotine|G Moreno|J Caglianone|S Antonacci; J Caballero(R)|M Muncy|G Henderson|Z Neto|A Bohm; T Soderstrom(I)|J Marsee; C Smith; J Duran; J Chourio|C Mayo; B Montgomery(R)|J Bennett; L Gilbert; J Hoffman; D Rasmussen; A Uribe; N McLean; K Senga; B Garcia; C Cavalli; C Early(I); R Pepiot(I); C Ponce(I); R Suarez(I); J Steele(I); M Meyer(I); D Williams(I); S Schwellenbach(I)
Like a Nightmare|R Jeffers|S Torkelson; F Freeman(R)|B Turang|M Machado|B Witt|K Marte; J Chisholm Jr.(I)|M Vargas|W Abreu; J Merrill; M Moniak; L Butler; C Simpson(R); C Rafaela(I)|N Arenado; B Buxton(I)|B Joyce; D Bednar; R Johnson; B Hudson; J Morillo; R Detmers; D Smith; B Baker; J Martinez; S Bieber(I); E Cabrera(I); B Ashcraft(I); R Sasaki(I); E Sheehan(M)
Long Balls|L Hicks|T France|O Albies|S Stewart|K Culpepper|L Keaschall|E Suarez; N Kurtz(I)|J Soto; J Adell; S Jones; H Hernandez; M Clark(R); A Barger(I)|Y Alvarez|G Taylor; I Seymour; C Sanchez; D Cease; F Peralta; M Miller; J Jones; P Lambert; Y Gomez; K Harrison(R); R Snelling(I)
Maga Doge|H Goodman|J Bauers|M McLain|Z Gelof|C.J. Abrams|C Pratt|C Durbin|H Bolte; M Harris II; J Wood; A.J. Ewing|T Story; J Wetherholt(I)|C Burnes; M King; M McGreevy; T Scott; T Bradley; W Warren; G Williams; H Harris; J Latz; E Alvarado(R); T Yesavage(I); R Nelson(I); R Helsley(I); G Crochet(I)
Magnum GI|S Basallo|R Flores|X Edwards|N Gonzales|T Turner|C Young|J Burger|K Tucker; J Mangum; T Tawa; E Valdez; B Rooker(I)|V Guerrero Jr.; A Pages(R); G Stanton(I); K Karros(I)|S Burke; C Scott; H Wesneski; B Young; R Iglesias; A Munoz; R Ray; S Alcantara; T Glasnow; R O'Brien(R); S Drohan(R); D Martin(I); K Bubic(I); B Sproat(M)
Rieken Havoc|C Jensen|J Aranda|G Torres|J Ramirez|F Lindor|G Lombard Jr.|K Okamoto|C DeLauter; W Langford; C Benge; C Bellinger; D Lile(R)|K Schwarber|A Painter; C Javier; C Schlittler; J Duran; T Rogers; J Lopez; Z Thornton; Z Matthews; G Rodriguez; L Varland(R); E Uceta(I); C Estevez(I); E Hancock(I); M Abel(I); K Bradish(I); H Greene(I)
Runtime Terror|W Smith|P Alonso|K Clemens|J Jung|C Montgomery|P Ramirez; D Swanson(I)|M Busch|A Judge; S Kwan; D Canzone; C Carroll|Y Diaz|S Gray; W Urena; L Henderson; T Melton; A Chapman; T Mahle; D May; J deGrom; D Kremer; E Perez(R); C Dollander(I); R Ryan(M)
Simba's Dublin Green Sox|C Raleigh|J Bell|A Martinez|B Lee; M Garcia(I); C Mead(I)|B Rocchio|E Duran|J Naylor|T Hernandez; K Stowers; J Walker; J McCarthy|C Yelich; T Grisham(I); J Tibbs(M)|C Patrick; M Wacha; E Rodriguez; C Sale; G Graceffo; B Headrick; E Pagan; R Garcia; S Cruz; B Woo(R); A Pallante(R); J Musgrove(I)
Trex|I Herrera; S Langeliers(I)|S Horwitz|J Holliday|E Clement; M Chapman(I)|M Betts|K Griffin; T Edman(R)|A Ortiz|P Crow-Armstrong; R Acuna Jr.; M Trout; V Mesa Jr.; L Robert(I)|V Pasquantino|S Arrighetti; G Kirby; F Valdez; L Webb; T Megill; P Messick; S Lugo; N Cameron; M Perez; S Ohtani (Pitcher)(R); R Weathers(I); S Strider(I)
Young Guns|B Rice|M Olson|T Bazzana; C Schmitt(I)|A Riley|O Lopez; C Emerson(I); W Castro(I)|E De La Cruz|I Paredes; C Condon(M)|R Greene; I Happ; C Carrigg; R Anthony; W Jenkins(R)|T Rumfield|B Snell; P Tolle; N Pivetta; P Fairbanks; P Skenes; F Griffin; J Webb; Z Wheeler; G Cole; S Imanaga(R); B Woodruff(I); S McClanahan(I)
