source: https://buecker.baseball.cbssports.com/standings/overall
captured: 2026-09-25T12:37:43
---
League
My Team
Players
Scores
Standings
Advice
Bob Uecker Imaginary Baseball League
Runtime Terror
Runtime Terror
(5th)
Standings
 
ADD/DROP
 
TRADES
13 / 13
WAIVER #
OVERALL
BY PERIOD
YEAR
2026
PERIOD
PERIOD 27 (MON, SEP 21 - SUN, SEP 27)
RANK
	
TEAM
	
BATTING
	
PITCHING
	
TOTAL
	
DIF
	
BEHIND

1	Young Guns	50.0	40.0	90.0	3.0	0.0
2	Big Sticks	43.0	45.0	88.0	-6.0	2.0
3	Dawg	52.0	34.0	86.0	-1.0	4.0
4	Maga Doge	58.0	24.0	82.0	-1.0	8.0
5	Like a Nightmare	42.0	39.0	81.0	0.5	9.0
5	Runtime Terror	40.0	41.0	81.0	5.0	9.0
7	Guillotine	27.0	49.0	76.0	2.0	14.0
8	Rieken Havoc	34.0	37.5	71.5	-4.0	18.5
9	Long Balls	25.5	42.0	67.5	0.5	22.5
10	Simba's Dublin Green Sox	30.5	26.0	56.5	0.5	33.5
11	Gashouse Gang	18.0	37.0	55.0	2.0	35.0
12	Trex	25.0	17.0	42.0	1.0	48.0
13	Magnum GI	10.0	23.5	33.5	-2.5	56.5
Batting Breakdown
TEAM	HR	PTS	DIF
Maga Doge	307	13.0	0.0
Dawg	293	12.0	0.0
Young Guns	292	11.0	0.0
Like a Nightmare	269	10.0	1.0
Big Sticks	268	9.0	-1.0
Runtime Terror	249	8.0	0.0
Long Balls	243	6.5	-0.5
Simba's Dublin Green Sox	243	6.5	0.5
Guillotine	236	5.0	0.0
Rieken Havoc	232	4.0	0.0
Trex	220	3.0	0.0
Gashouse Gang	215	2.0	0.0
Magnum GI	187	1.0	0.0
TEAM	OBP	PTS	DIF
Dawg	.3442	13.0	0.0
Runtime Terror	.3358	12.0	0.0
Young Guns	.3343	11.0	0.0
Maga Doge	.3330	10.0	0.0
Trex	.3320	9.0	2.0
Big Sticks	.3314	8.0	-1.0
Long Balls	.3310	7.0	-1.0
Gashouse Gang	.3306	6.0	0.0
Rieken Havoc	.3286	5.0	0.0
Like a Nightmare	.3235	4.0	0.0
Guillotine	.3220	3.0	0.0
Magnum GI	.3176	2.0	0.0
Simba's Dublin Green Sox	.3169	1.0	0.0
TEAM	R	PTS	DIF
Dawg	1022	13.0	0.0
Maga Doge	1002	12.0	0.0
Young Guns	955	11.0	0.0
Runtime Terror	937	10.0	0.0
Like a Nightmare	927	9.0	0.0
Rieken Havoc	919	8.0	0.0
Big Sticks	908	7.0	0.0
Guillotine	906	6.0	0.0
Gashouse Gang	870	5.0	0.0
Trex	869	4.0	0.0
Simba's Dublin Green Sox	821	3.0	1.0
Long Balls	815	2.0	1.0
Magnum GI	809	1.0	-2.0
TEAM	RBI	PTS	DIF
Big Sticks	958	13.0	0.0
Maga Doge	930	12.0	0.0
Simba's Dublin Green Sox	891	11.0	1.0
Young Guns	889	10.0	1.0
Dawg	888	9.0	-2.0
Long Balls	873	8.0	0.0
Runtime Terror	871	7.0	0.0
Like a Nightmare	841	6.0	1.0
Rieken Havoc	840	5.0	-1.0
Gashouse Gang	822	4.0	0.0
Guillotine	811	3.0	0.0
Magnum GI	763	2.0	0.0
Trex	740	1.0	0.0
TEAM	SB	PTS	DIF
Like a Nightmare	184	13.0	0.0
Rieken Havoc	169	12.0	0.0
Maga Doge	164	11.0	0.0
Guillotine	156	10.0	1.0
Simba's Dublin Green Sox	154	9.0	-1.0
Trex	152	8.0	0.0
Young Guns	142	7.0	0.0
Big Sticks	140	6.0	0.0
Dawg	134	5.0	0.0
Magnum GI	119	4.0	0.0
Runtime Terror	114	3.0	0.0
Long Balls	103	2.0	0.0
Gashouse Gang	85	1.0	0.0
	 	
Pitching Breakdown
TEAM	ERA	PTS	DIF
Runtime Terror	3.528	13.0	0.0
Guillotine	3.543	12.0	0.0
Gashouse Gang	3.627	11.0	2.0
Big Sticks	3.637	10.0	-1.0
Long Balls	3.639	9.0	1.0
Rieken Havoc	3.666	8.0	-2.0
Dawg	3.724	7.0	0.0
Young Guns	3.981	6.0	0.0
Simba's Dublin Green Sox	4.060	5.0	0.0
Like a Nightmare	4.102	4.0	0.0
Trex	4.106	3.0	0.0
Magnum GI	4.250	2.0	0.0
Maga Doge	4.285	1.0	0.0
TEAM	K	PTS	DIF
Long Balls	1452	13.0	0.0
Guillotine	1338	12.0	0.0
Young Guns	1332	11.0	2.0
Like a Nightmare	1311	10.0	0.0
Big Sticks	1310	9.0	-2.0
Maga Doge	1292	8.0	0.0
Rieken Havoc	1291	7.0	0.0
Runtime Terror	1228	6.0	0.0
Gashouse Gang	1175	5.0	0.0
Magnum GI	1174	4.0	0.0
Dawg	1148	3.0	1.0
Trex	1143	2.0	-1.0
Simba's Dublin Green Sox	1112	1.0	0.0
TEAM	S	PTS	DIF
Like a Nightmare	84	12.0	0.0
Rieken Havoc	84	12.0	0.0
Magnum GI	84	12.0	0.0
Big Sticks	69	10.0	0.0
Long Balls	63	9.0	0.0
Trex	57	8.0	0.0
Gashouse Gang	54	7.0	0.0
Maga Doge	50	6.0	0.0
Simba's Dublin Green Sox	47	5.0	0.0
Runtime Terror	42	4.0	0.0
Dawg	34	3.0	0.0
Guillotine	27	2.0	0.0
Young Guns	23	1.0	0.0
TEAM	WHIP	PTS	DIF
Gashouse Gang	1.1593	13.0	0.0
Dawg	1.1736	12.0	0.0
Guillotine	1.1998	11.0	1.0
Like a Nightmare	1.2013	10.0	-1.0
Young Guns	1.2078	9.0	0.0
Big Sticks	1.2147	8.0	1.0
Runtime Terror	1.2169	7.0	1.0
Rieken Havoc	1.2212	6.0	-2.0
Simba's Dublin Green Sox	1.2446	5.0	0.0
Long Balls	1.2450	4.0	1.0
Maga Doge	1.2516	3.0	-1.0
Trex	1.2613	2.0	0.0
Magnum GI	1.3185	1.0	0.0
TEAM	WQS	PTS	DIF
Young Guns	189	13.0	0.0
Guillotine	184	12.0	0.0
Runtime Terror	172	11.0	4.0
Simba's Dublin Green Sox	171	10.0	-1.0
Dawg	170	9.0	0.0
Big Sticks	169	8.0	-2.0
Long Balls	168	7.0	-1.0
Maga Doge	159	6.0	0.0
Rieken Havoc	155	4.5	1.0
Magnum GI	155	4.5	-0.5
Like a Nightmare	153	3.0	-0.5
Trex	148	2.0	0.0
Gashouse Gang	143	1.0	0.0
STANDINGS UPDATED AS OF 09/25/26 01:37 PM ET
More
Pick'em Games
Fantasy Sports
Free Sports TV
Best Betting Apps
Best Prediction Apps
March Madness
Mobile Apps
Company
About Us
Careers
About Paramount
Paramount+
CBS TV
Regulation
Terms Of Use
Privacy Policy
Minors' Privacy Policy
Your Privacy Choices
Closed Captioning
California Notice
Contact Us
Help
Customer Care
Social Media
YouTube
TikTok
Instagram
Facebook
X
Threads
Flipboard
Account
Manage My Account
Newsletters
My Teams
Forgot Password

© 2004-2025 CBS Interactive. ALL RIGHTS RESERVED.

CBS Sports is a registered trademark of CBS Broadcasting Inc. Commissioner is a registered service mark of CBS Interactive Inc. Scout Fantasy is a registered service mark of CBS 247 Inc.

The content on this site is for entertainment purposes only and CBS Sports makes no representation or warranty as to the accuracy of the information given or the outcome of any game or event. There is no gambling offered on this site. This site contains commercial content and CBS Sports may be compensated for the links provided on this site.

Images by Getty Images and Imagn
