source: https://buecker.baseball.cbssports.com/standings/overall
captured: 2026-09-26T07:03:06
---
League
My Team
Players
Scores
Standings
Advice
Bob Uecker Imaginary Baseball League
Runtime Terror
Runtime Terror
(5th)
Standings
 
ADD/DROP
 
TRADES
13 / 13
WAIVER #
OVERALL
BY PERIOD
YEAR
2026
PERIOD
PERIOD 27 (MON, SEP 21 - SUN, SEP 27)
RANK
	
TEAM
	
BATTING
	
PITCHING
	
TOTAL
	
DIF
	
BEHIND

1	Young Guns	49.0	40.0	89.0	2.0	0.0
1	Big Sticks	43.0	46.0	89.0	-5.0	0.0
3	Dawg	53.0	33.0	86.0	-1.0	3.0
4	Maga Doge	58.0	24.0	82.0	-1.0	7.0
5	Like a Nightmare	40.5	40.0	80.5	0.0	8.5
5	Runtime Terror	40.5	40.0	80.5	4.5	8.5
7	Guillotine	29.0	49.0	78.0	4.0	11.0
8	Long Balls	26.0	46.0	72.0	5.0	17.0
9	Rieken Havoc	34.5	37.0	71.5	-4.0	17.5
10	Simba's Dublin Green Sox	30.5	25.0	55.5	-0.5	33.5
11	Gashouse Gang	18.0	35.0	53.0	0.0	36.0
12	Trex	23.0	17.0	40.0	-1.0	49.0
13	Magnum GI	10.0	23.0	33.0	-3.0	56.0
Batting Breakdown
TEAM	HR	PTS	DIF
Maga Doge	307	13.0	0.0
Dawg	295	12.0	0.0
Young Guns	293	11.0	0.0
Like a Nightmare	271	10.0	1.0
Big Sticks	269	9.0	-1.0
Runtime Terror	253	8.0	0.0
Simba's Dublin Green Sox	245	7.0	1.0
Long Balls	244	6.0	-1.0
Guillotine	237	5.0	0.0
Rieken Havoc	235	4.0	0.0
Trex	221	3.0	0.0
Gashouse Gang	217	2.0	0.0
Magnum GI	188	1.0	0.0
TEAM	OBP	PTS	DIF
Dawg	.3437	13.0	0.0
Runtime Terror	.3366	12.0	0.0
Young Guns	.3348	11.0	0.0
Maga Doge	.3324	10.0	0.0
Big Sticks	.3316	9.0	0.0
Long Balls	.3315	8.0	0.0
Trex	.3312	7.0	0.0
Gashouse Gang	.3300	6.0	0.0
Rieken Havoc	.3289	5.0	0.0
Guillotine	.3237	4.0	1.0
Like a Nightmare	.3234	3.0	-1.0
Magnum GI	.3173	2.0	0.0
Simba's Dublin Green Sox	.3168	1.0	0.0
TEAM	R	PTS	DIF
Dawg	1029	13.0	0.0
Maga Doge	1007	12.0	0.0
Young Guns	964	11.0	0.0
Runtime Terror	950	10.0	0.0
Like a Nightmare	937	9.0	0.0
Rieken Havoc	926	8.0	0.0
Guillotine	917	7.0	1.0
Big Sticks	915	6.0	-1.0
Gashouse Gang	876	5.0	0.0
Trex	871	4.0	0.0
Long Balls	826	2.5	1.5
Simba's Dublin Green Sox	826	2.5	0.5
Magnum GI	812	1.0	-2.0
TEAM	RBI	PTS	DIF
Big Sticks	964	13.0	0.0
Maga Doge	936	12.0	0.0
Simba's Dublin Green Sox	897	11.0	1.0
Dawg	896	10.0	-1.0
Young Guns	892	9.0	0.0
Runtime Terror	880	7.5	0.5
Long Balls	880	7.5	-0.5
Like a Nightmare	853	5.5	0.5
Rieken Havoc	853	5.5	-0.5
Gashouse Gang	827	4.0	0.0
Guillotine	823	3.0	0.0
Magnum GI	768	2.0	0.0
Trex	742	1.0	0.0
TEAM	SB	PTS	DIF
Like a Nightmare	185	13.0	0.0
Rieken Havoc	169	12.0	0.0
Maga Doge	165	11.0	0.0
Guillotine	157	10.0	1.0
Simba's Dublin Green Sox	154	9.0	-1.0
Trex	153	8.0	0.0
Young Guns	143	7.0	0.0
Big Sticks	141	6.0	0.0
Dawg	135	5.0	0.0
Magnum GI	119	4.0	0.0
Runtime Terror	115	3.0	0.0
Long Balls	104	2.0	0.0
Gashouse Gang	85	1.0	0.0
	 	
Pitching Breakdown
TEAM	ERA	PTS	DIF
Guillotine	3.540	13.0	1.0
Runtime Terror	3.549	12.0	-1.0
Long Balls	3.612	11.0	3.0
Big Sticks	3.614	10.0	-1.0
Gashouse Gang	3.644	9.0	0.0
Rieken Havoc	3.656	8.0	-2.0
Dawg	3.722	7.0	0.0
Young Guns	3.981	6.0	0.0
Simba's Dublin Green Sox	4.064	5.0	0.0
Like a Nightmare	4.070	4.0	0.0
Trex	4.130	3.0	0.0
Magnum GI	4.229	2.0	0.0
Maga Doge	4.296	1.0	0.0
TEAM	K	PTS	DIF
Long Balls	1469	13.0	0.0
Guillotine	1339	12.0	0.0
Young Guns	1332	11.0	2.0
Big Sticks	1328	10.0	-1.0
Like a Nightmare	1320	9.0	-1.0
Maga Doge	1308	8.0	0.0
Rieken Havoc	1298	7.0	0.0
Runtime Terror	1241	6.0	0.0
Gashouse Gang	1194	5.0	0.0
Magnum GI	1187	4.0	0.0
Dawg	1153	3.0	1.0
Trex	1147	2.0	-1.0
Simba's Dublin Green Sox	1114	1.0	0.0
TEAM	S	PTS	DIF
Like a Nightmare	85	12.5	0.5
Rieken Havoc	85	12.5	0.5
Magnum GI	84	11.0	-1.0
